,Labels
0,Adipose_Subcutaneous
1,Adipose_Visceral_Omentum
2,Adrenal_Gland
3,Artery_Aorta
4,Artery_Coronary
5,Artery_Tibial
6,Bladder
7,Brain_Amygdala
8,Brain_Anterior_cingulate_cortex_BA24
9,Brain_Caudate_basal_ganglia
10,Brain_Cerebellar_Hemisphere
11,Brain_Cerebellum
12,Brain_Cortex
13,Brain_Frontal_Cortex_BA9
14,Brain_Hippocampus
15,Brain_Hypothalamus
16,Brain_Nucleus_accumbens_basal_ganglia
17,Brain_Putamen_basal_ganglia
18,Brain_Spinal_cord_cervical_c1
19,Brain_Substantia_nigra
20,Breast_Mammary_Tissue
21,Cells_EBV-transformed_lymphocytes
22,Cells_Transformed_fibroblasts
23,Cervix_Ectocervix
24,Cervix_Endocervix
25,Colon_Sigmoid
26,Colon_Transverse
27,Esophagus_Gastroesophageal_Junction
28,Esophagus_Mucosa
29,Esophagus_Muscularis
30,Fallopian_Tube
31,Heart_Atrial_Appendage
32,Heart_Left_Ventricle
33,Kidney_Cortex
34,Liver
35,Lung
36,Minor_Salivary_Gland
37,Muscle_Skeletal
38,Nerve_Tibial
39,Ovary
40,Pancreas
41,Pituitary
42,Prostate
43,Skin_Not_Sun_Exposed_Suprapubic
44,Skin_Sun_Exposed_Lower_leg
45,Small_Intestine_Terminal_Ileum
46,Spleen
47,Stomach
48,Testis
49,Thyroid
50,Uterus
51,Vagina
52,Whole_Blood
53,cardiac ventricle fibroblast
54,hair follicular keratinocyte
55,airway epithelial cell
56,epithelial cell of proximal tubule
57,pericardium fibroblast
58,mesangial cell
59,bronchial fibroblast
60,glomerular endothelial cell
61,kidney epithelial cell
62,mammary microvascular endothelial cell
63,epithelial cell of alveolus of lung
64,myometrial cell
65,cardiac atrium fibroblast
66,endometrial microvascular endothelial cell
67,smooth muscle cell
68,hepatocyte
69,neural progenitor cell
70,HT1080
71,SK-N-DZ
72,SK-MEL-5
73,NCI-H460
74,astrocyte
75,LHCN-M2
76,K562
77,HepG2
78,MCF-7
79,bipolar spindle neuron
80,skeletal muscle myoblast
81,myotube
82,H7-hESC
83,RPMI-7951
84,M059J
85,H4
86,MG63
87,G401
88,Caki2
89,SJSA1
90,Daoy
91,A172
92,induced pluripotent stem cell
93,fibroblast of arm
94,A375
95,HT-29
96,PC-3
97,Karpas-422
98,Oci-Ly-7
99,SJCRH30
100,neural cell
101,umbilical cord
102,pericyte cell
103,melanocyte of skin
104,placental epithelial cell
105,hair follicle dermal papilla cell
106,hematopoietic multipotent progenitor cell
107,vein endothelial cell
108,osteoblast
109,articular chondrocyte of knee joint
110,thoracic aorta endothelial cell
111,fibroblast of the aortic adventitia
112,skeletal muscle satellite cell
113,fibroblast of dermis
114,mammary epithelial cell
115,subcutaneous preadipocyte
116,fibroblast of villous mesenchyme
117,endothelial cell of umbilical vein
118,fibroblast of lung
119,keratinocyte
120,stomach
121,dermis microvascular lymphatic vessel endothelial cell
122,tongue
123,lung microvascular endothelial cell
124,liver
125,smooth muscle cell of the coronary artery
126,aortic smooth muscle cell
127,cerebellum
128,occipital lobe
129,lung
130,metanephros
131,bronchial smooth muscle cell
132,spinal cord
133,parietal lobe
134,diencephalon
135,bronchial epithelial cell
136,human nasal epithelial cells
137,pulmonary artery endothelial cell
